trialtype,setsize,time1,click1x,click1y,time2,click2x,click2y,id,platform,posx1,posy1,posxmin1,posxmax1,posymin1,posymax1,posx2,posy2,posxmin2,posxmax2,posymin2,posymax2
both,8,1.227470517158508,-204,197,0.7803028225898743,264,55,1,ios,221,60,146,296,-15,135,-229,210,-304,-154,135,285
both,8,0.9524950385093689,63,68,0.7130586504936218,-62,183,1,ios,74,61,-1,149,-14,136,-76,211,-151,-1,136,286
both,8,1.205410242080688,92,212,0.6663222312927246,-70,68,1,ios,-52,91,-127,23,16,166,98,241,23,173,166,316
both,8,2.463965177536011,104,-101,0.992117702960968,239,234,1,ios,97,-73,22,172,-148,2,247,227,172,322,152,302
both,8,0.9969102740287781,-237,101,0.86580657958984375,269,-58,1,ios,240,-55,165,315,-130,20,-210,95,-285,-135,20,170
both,8,1.189640760421753,-72,221,1.463898301124573,15,-376,1,ios,-77,237,-152,-2,162,312,-77,87,-152,-2,12,162
both,8,1.294015407562256,112,95,0.8627727627754211,-51,-227,1,ios,-77,-223,-152,-2,-298,-148,73,77,-2,148,2,152
both,8,1.40614914894104,191,54,0.8557267189025879,-64,-94,1,ios,-78,-69,-153,-3,-144,6,222,81,147,297,6,156
both,8,1.609955668449402,216,-97,1.115201711654663,9,-390,1,ios,215,-94,140,290,-169,-19,-235,-94,-310,-160,-169,-19
both,8,1.073694467544556,-52,73,1.013288021087646,31,-409,1,ios,-58,80,-133,17,5,155,-58,-70,-133,17,-145,5
both,8,1.642744183540344,91,-68,1.612382292747498,-244,-244,1,ios,-235,-238,-310,-160,-313,-163,65,-88,-10,140,-163,-13
both,8,1.363519787788391,226,-83,0.9785046577453613,81,-75,1,ios,90,-78,15,165,-153,-3,240,-78,165,315,-153,-3
both,8,0.9116182923316956,-172,-74,0.8136694431304932,-177,-199,1,ios,-200,-65,-275,-125,-140,10,-200,-215,-275,-125,-290,-140
both,8,1.211565136909485,213,38,1.213764548301697,-30,-228,1,ios,236,51,161,311,-24,126,-64,-249,-139,11,-324,-174
both,8,1.97662615776062,66,-243,0.3969513475894928,204,-112,1,ios,200,-97,125,275,-172,-22,50,-247,-25,125,-322,-172
both,8,0.9932446479797363,250,198,1.015214204788208,244,-253,1,ios,250,211,175,325,136,286,250,-239,175,325,-314,-164
both,8,0.9780738949775696,-75,70,0.7624275088310242,91,-206,1,ios,-57,83,-132,18,8,158,93,-217,18,168,-292,-142
both,8,1.247038125991821,-63,-62,1.213914513587952,-86,-233,1,ios,-83,-72,-158,-8,-147,3,-83,-222,-158,-8,-297,-147
both,8,1.410091996192932,-196,-198,0.3974006474018097,-27,-36,1,ios,-71,-56,-146,4,-131,19,-221,-206,-296,-146,-281,-131
both,8,1.458750367164612,232,-47,0.3972725570201874,223,113,1,ios,224,76,149,299,1,151,224,-74,149,299,-149,1
both,8,1.89750874042511,66,-117,0.597069501876831,28,-362,1,ios,74,61,-1,149,-14,136,74,-89,-1,149,-164,-14
both,8,1.017150640487671,-214,73,0.630431056022644,-78,-93,1,ios,-206,56,-281,-131,-19,131,-56,-94,-131,19,-169,-19
both,8,1.248167037963867,-190,-99,0.5627257823944092,-107,-209,1,ios,-69,-229,-144,6,-304,-154,-219,-79,-294,-144,-154,-4
both,8,1.211627244949341,204,72,0.7156238555908203,-91,217,1,ios,-87,225,-162,-12,150,300,213,75,138,288,0,150
both,8,0.8947783708572388,72,73,0.9161061644554138,-200,230,1,ios,-225,241,-300,-150,166,316,75,91,0,150,16,166
both,8,1.110901117324829,126,-125,0.5308284759521484,230,-265,1,ios,100,-98,25,175,-173,-23,250,-248,175,325,-323,-173
both,8,1.276278614997864,-70,-73,0.5285223722457886,62,-238,1,ios,-95,-60,-170,-20,-135,15,55,-210,-20,130,-285,-135
both,8,1.261627316474915,218,45,0.6982263326644897,-37,-253,1,ios,248,75,173,323,0,150,-52,-225,-127,23,-300,-150
both,8,1.604336619377136,200,-256,1.062094211578369,-190,-211,1,ios,239,-230,164,314,-305,-155,-211,-230,-286,-136,-305,-155
both,8,1.294999361038208,-237,-102,1.146942615509033,279,-75,1,ios,-216,-90,-291,-141,-165,-15,234,-90,159,309,-165,-15
both,8,1.091947197914124,58,-92,0.6129111647605896,80,-244,1,ios,50,-246,-25,125,-321,-171,50,-96,-25,125,-171,-21
both,8,1.272623896598816,183,246,0.5286616086959839,-86,-75,1,ios,219,246,144,294,171,321,-81,-54,-156,-6,-129,21
both,8,0.961024820804596,-201,-70,0.5301060080528259,-89,-94,1,ios,-91,92,-166,-16,17,167,-241,-92,-316,-166,-167,-17
both,8,1.545853853225708,79,191,0.8792039752006531,225,59,1,ios,89,200,14,164,125,275,239,50,164,314,-25,125
both,8,1.310883045196533,234,-84,0.64649897813797,112,43,1,ios,232,-74,157,307,-149,1,82,76,7,157,1,151
both,8,1.233534932136536,67,-106,0.6957881450653076,-83,74,1,ios,52,-87,-23,127,-162,-12,-98,63,-173,-23,-12,138
both,8,1.366378426551819,-194,97,0.5144939422607422,-192,-214,1,ios,-226,-200,-301,-151,-275,-125,-226,100,-301,-151,25,175
both,8,0.9935027956962585,-171,237,0.9281308650970459,246,243,1,ios,-203,247,-278,-128,172,322,247,247,172,322,172,322
both,8,1.295818567276001,52,188,1.030467510223389,239,58,1,ios,218,54,143,293,-21,129,68,204,-7,143,129,279
both,8,1.245129942893982,-76,206,0.4806931614875793,47,114,1,ios,56,90,-19,131,15,165,-94,240,-169,-19,165,315
both,8,1.221298694610596,-211,187,0.7301889061927795,-46,-230,1,ios,-81,-239,-156,-6,-314,-164,-231,211,-306,-156,136,286
both,8,1.290233969688416,67,-111,1.058076977729797,-96,211,1,ios,82,-89,7,157,-164,-14,-68,211,-143,7,136,286
both,8,1.810249090194702,-80,35,0.5679992437362671,147,204,1,ios,-55,50,-130,20,-25,125,95,200,20,170,125,275
both,8,1.387595176696777,-218,-207,0.9077559113502502,242,245,1,ios,-215,-215,-290,-140,-290,-140,235,235,160,310,160,310
both,8,0.9912768602371216,-157,64,0.4476000666618347,-36,233,1,ios,-67,217,-142,8,142,292,-217,67,-292,-142,-8,142
both,8,0.8909723162651062,-69,92,0.862942636013031,210,233,1,ios,235,229,160,310,154,304,-65,79,-140,10,4,154
both,8,1.265812993049622,-56,-60,0.4574882686138153,75,48,1,ios,-55,-60,-130,20,-135,15,95,90,20,170,15,165
both,8,1.383797645568848,56,-74,0.5779616236686707,191,32,1,ios,71,-80,-4,146,-155,-5,221,70,146,296,-5,145
both,8,1.160010933876038,-268,-81,0.5287753939628601,-272,232,1,ios,-250,211,-325,-175,136,286,-250,-89,-325,-175,-164,-14
both,8,0.994299054145813,-69,-61,1.263979434967041,-78,-237,1,ios,-85,-213,-160,-10,-288,-138,-85,-63,-160,-10,-138,12
tray,12,1.522673010826111,-173,229,1.794350266456604,15,-366,1,ios,-202,221,-277,-127,146,296,450,-350,350,550,-425,-275
tray,12,1.923780560493469,-124,195,1.270893692970276,21,-379,1,ios,-100,222,-175,-25,147,297,450,-350,350,550,-425,-275
tray,12,3.018278121948242,88,197,1.011066675186157,-1,-376,1,ios,66,216,-9,141,141,291,450,-350,350,550,-425,-275
tray,12,1.504985451698303,281,183,2.511577367782593,33,-365,1,ios,243,205,168,318,130,280,450,-350,350,550,-425,-275
tray,12,1.283586740493774,-229,83,1.853877067565918,-31,-396,1,ios,-203,79,-278,-128,4,154,450,-350,350,550,-425,-275
tray,12,1.215610504150391,-56,72,1.543925166130066,-3,-388,1,ios,-90,66,-165,-15,-9,141,450,-350,350,550,-425,-275
tray,12,1.352319717407227,108,56,2.442697286605835,-10,-363,1,ios,90,55,15,165,-20,130,450,-350,350,550,-425,-275
tray,12,1.775506854057312,214,86,1.126689672470093,10,-362,1,ios,200,86,125,275,11,161,450,-350,350,550,-425,-275
tray,12,1.68804943561554,-192,-97,1.326575636863708,-17,-399,1,ios,-214,-98,-289,-139,-173,-23,450,-350,350,550,-425,-275
tray,12,1.126981496810913,-40,-59,1.393222212791443,-19,-363,1,ios,-75,-77,-150,0,-152,-2,450,-350,350,550,-425,-275
tray,12,1.041491031646729,51,-81,1.926153063774109,5,-373,1,ios,73,-66,-2,148,-141,9,450,-350,350,550,-425,-275
tray,12,2.764224767684937,249,-94,1.757147908210754,-20,-400,1,ios,250,-81,175,325,-156,-6,450,-350,350,550,-425,-275
tray,12,1.888491272926331,-175,-234,2.163151025772095,27,-365,1,ios,-214,-224,-289,-139,-299,-149,450,-350,350,550,-425,-275
tray,12,3.026376247406006,-47,-173,0.7865806221961975,-23,-383,1,ios,-74,-204,-149,1,-279,-129,450,-350,350,550,-425,-275
tray,12,1.673737525939941,102,-255,1.126373648643494,33,-377,1,ios,86,-244,11,161,-319,-169,450,-350,350,550,-425,-275
tray,12,3.501698970794678,231,-196,0.8959977626800537,-31,-429,1,ios,208,-218,133,283,-293,-143,450,-350,350,550,-425,-275
tray,12,1.863451838493347,70,-236,0.5722415447235107,65,-368,1,ios,68,-217,-7,143,-292,-142,450,-350,350,550,-425,-275
