numphoneme,phoneme,duration,timef,f0,f0max,f0min,f1,f2,f3,intensity,intensitymax,id,rec,reduction,position,manner,place,voicing,palatalization,stress
2,u,0.125775277603949,0.331618745814461,224.977235253428,231.747442729995,204.938289931329,443.73051475873433,2193.2649384716956,3044.6567514475823,62.1742349905932,63.044955245029,subj2,12-1,no,S,NA,NA,NA,NA,NA
4,ə,0.161173110223024,0.636266049950971,212.151499784376,224.117296613498,198.014688516408,462.8236784544782,1646.80581046709,2115.4123854086947,56.8947577805702,58.9775560178568,subj2,12-1,second,F,NA,NA,NA,NA,NA
2,ʊ,0.0828459912361338,0.242371018891899,217.891620731753,220.719186035516,213.078524267222,481.655697899736,2127.31256430385,2681.19130212531,59.7263347198854,59.9988922267985,subj2,12-2,first,R,NA,NA,NA,NA,NA
4,a,0.225190467087309,0.555302922152022,183.473390013121,193.35372620231,177.770624246801,283.609643663663,1570.32998083896,2633.55044272777,58.3260252619468,58.9881186427344,subj2,12-2,no,S,NA,NA,NA,NA,NA
4,e,0.155190783257412,0.64986075512471,220.144175493768,236.190832375107,203.938437668125,450.039920395794,2072.6999678036,2610.05184191599,61.7764317841245,62.9826987494832,subj2,13-1,no,S,NA,NA,NA,NA,NA
7,ə̝,0.147558449654589,1.07599938128236,211.495819038285,218.516520422508,194.631217978121,395.11020406825,1969.45633598344,2305.71698463778,56.989696941408,59.9083799365633,subj2,13-1,second,F,NA,NA,NA,NA,NA
4,ɪ,0.077390178389781,0.351533477851608,222.020283384914,235.632269403238,204.713084017336,416.37514489412155,2445.654836876018,2507.0028994685754,62.9290282271687,65.1333571211558,subj2,13-2,first,R,NA,NA,NA,NA,NA
7,i,0.150480902424574,0.796527003592849,179.538409675145,187.167589364526,175.257474018423,246.12660773916656,2410.4555927933634,2721.8676230145093,56.052460234895,58.5558143363296,subj2,13-2,no,S,NA,NA,NA,NA,NA
3,u,0.145158115601081,0.405065351003155,228.776055206565,245.944281556604,198.426761499614,380.478281235671,777.416660878817,2802.72677279504,61.9240639637566,62.6648941876362,subj2,14-1,no,S,NA,NA,NA,NA,NA
6,ə̝,0.157558557637354,0.789843773011044,217.558003686805,222.648781075305,198.942879300504,384.097487635466,1985.45674915684,2435.72785899684,58.4414346701727,61.6271689019941,subj2,14-1,second,F,NA,NA,NA,NA,NA
