id,trialtype,setsize,platform,rt_mean,rt_sd
11,dots,8,andr,1.2022446346282958,0.3803492737024281
11,dots,12,andr,1.3476151740550995,0.5664427967599736
11,dots,16,andr,1.4045217287540435,0.9078788741750587
11,tray,8,andr,1.3032304418087006,0.4540517627154152
11,tray,12,andr,1.496876482963562,0.891319734794759
11,tray,16,andr,1.8532509911060333,1.5715445798777408
12,dots,8,andr,1.2086807298660278,0.4465430769497571
12,dots,12,andr,1.4127359449863435,0.7112926250162251
12,dots,16,andr,1.5193188273906708,0.8951146963650605
12,tray,8,andr,1.2669543039798739,0.7670613872632823
12,tray,12,andr,1.5286688482761384,0.9047876686539361
12,tray,16,andr,1.7677131736278533,1.035470780962238
13,dots,8,ios,1.294392864704132,0.678480229001713
13,dots,12,ios,1.5136532425880431,0.6907682019945325
13,dots,16,ios,1.8460451996326446,1.0393437956463543
13,tray,8,ios,1.272644087076187,0.4296826588331958
13,tray,12,ios,1.5622979259490968,0.658322958308955
13,tray,16,ios,1.929297993183136,0.9779036788327192
14,dots,8,ios,1.4280720853805542,0.4764068200579241
14,dots,12,ios,1.6272332501411437,0.6800343878015371
14,dots,16,ios,1.9429209661483764,1.0773128402850152
14,tray,8,ios,1.393366895914078,0.44746677138048097
14,tray,12,ios,1.744668334722519,0.7820210277443472
14,tray,16,ios,1.9320854711532593,1.241313523432495
15,dots,8,andr,1.4808815789222716,0.6671530429881274
15,dots,12,andr,1.6310501301288605,0.5601695463717137
15,dots,16,andr,1.7170181727409364,0.6882651094491239
15,tray,8,andr,1.4357314443588258,0.5829974424045653
15,tray,12,andr,1.4714198994636536,0.488465493775114
15,tray,16,andr,1.550104457139969,0.6733174681167499
16,dots,8,andr,1.157332217693329,0.48320732409688705
16,dots,12,andr,1.5776926982402801,1.050080442352797
16,dots,16,andr,1.9126945948600769,1.3259134791181348
16,tray,8,andr,1.2486827492713928,0.4684007889806327
16,tray,12,andr,1.3216284096240998,0.4774711666882513
16,tray,16,andr,1.6273442363739015,0.6696937365956669
17,dots,8,ios,1.4498266541957856,0.5709446320940879
17,dots,12,ios,1.6478487968444824,0.5852090164532225
17,dots,16,ios,1.988558943271637,0.8386434541820769
17,tray,8,ios,1.5601761364936828,0.5718317925216465
17,tray,12,ios,1.7805319237709045,0.6232486598141487
17,tray,16,ios,2.278079099655151,1.0859561025278532
18,dots,8,andr,1.417704292535782,0.535798030217996
18,dots,12,andr,1.8194381034374236,0.7536172812887434
18,dots,16,andr,2.3833185636997225,1.5470477275840224
18,tray,8,andr,1.3770156753063203,0.46738676861299994
18,tray,12,andr,1.73101086974144,0.7941599100956664
18,tray,16,andr,1.9472585952281951,1.0330506047690329
19,dots,8,ios,1.2274465465545654,0.3710009972433081
19,dots,12,ios,1.6073195278644563,0.7216651851973658
19,dots,16,ios,1.918633096218109,1.0245660830286922
19,tray,8,ios,1.4610850095748902,0.5090030958774345
